sun.asc
  5380.322       6.0      7.68     -1.69                         17.85 1.958e-04 
  4775.877       6.0      7.49     -2.16                         12.69 8.837e-03 
  5052.151       6.0      7.68     -1.51                         24.84 4.745e+00 
  6300.311       8.0       0.0     -9.75                          5.20 3.245e-01 
  6156.801       8.0     10.74     -0.45                          4.83 6.461e+03 
  4751.825      11.0       2.1     -2.11                         11.94 6.408e-04 
   6154.23      11.0       2.1     -1.57                         34.39 3.245e+00 
  6160.753      11.0       2.1     -1.26                         51.69 5.922e-07 
  6318.708      12.0      5.11     -1.97                         35.21 1.477e-03 
  6319.242      12.0      5.11      -2.2                         29.82 9.739e-06 
  4730.038      12.0      4.35     -2.39                         57.62 4.362e-02 
  6696.032      13.0      3.14     -1.32                         33.89 5.637e-07 
  6698.669      13.0      3.14     -1.62                         20.54 2.210e-08 
  6848.566      14.0      5.86     -1.75                         14.86 3.428e-07 
  5780.388      14.0      4.92     -2.35                         27.94 8.936e-05 
  5645.618      14.0      4.93     -2.14                         32.92 1.237e-07 
  5772.149      14.0      5.08     -1.75                         45.85 4.093e-07 
  5684.493      14.0      4.95     -1.65                         54.39 2.536e-07 
  5690.433      14.0      4.93     -1.87                         45.44 2.545e-05 
   6145.02      14.0      5.61     -1.44                         34.76 7.733e-08 
  5701.108      14.0      4.93     -2.05                         37.60 1.167e-02 
   6741.63      14.0     5.984     -1.75                         13.90 4.728e-08 
  5665.563      14.0      4.92     -2.04                         36.99 2.568e-07 
   4102.94      14.0     1.909     -3.14                         85.66 3.201e-02 
  5948.548      14.0      5.08     -1.23                         72.21 7.156e-05 
  5708.405      14.0      4.95     -1.47                         65.71 1.772e+00 
  5793.079      14.0      4.93     -2.06                         39.54 5.712e-07 
  5797.865      14.0      4.95     -2.05                         37.74 2.945e-07 
  6125.026      14.0      5.61     -1.57                         28.28 2.817e-07 
  6347.095      14.1      8.12      0.26                         33.48 1.063e-06 
  4694.117      16.0      6.52     -1.82                         12.25    inf 
  4695.446      16.0      6.52     -1.96                          8.51 1.361e-02 
   5260.39      20.0      2.52     -1.72                         33.06 7.679e-06 
  6499.654      20.0      2.52     -0.82                         80.61 1.467e-06 
